"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"26","M","Henderson, Jordan - LIV","FA","@MCI Sat 5:30PM","300.79","300.79","1","1","90","0","0","0","0","0","0","0","0","3","3","0","19","2","0","0","0","0","0","0","0","0","68","54","79.4","11","4","1","3","2","0","0","0","2","0","1","1","0","0","0","0","0","3","3","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","0","7","1","1","0","0","0"
"27","D","Coates, Sebastián - SUN","FA","@CRY Mon 8:00PM","297.85","297.85","1","1","90","0","0","0","0","0","0","0","0","2","1","0","9","5","1","1","0","0","1","0","0","0","54","46","85.2","3","0","0","0","0","0","0","0","3","0","2","1","0","0","0","1","1","6","10","3","4","0","0","0","0","0","10","0","0","0","0","0","0","0","4","20","20","0","0","1","0","2"
"28","D","Sagna, Bacary - MCI","FA","LIV Sat 5:30PM","294.95","294.95","1","1","90","0","0","1","0","0","0","0","0","2","1","0","7","0","1","0","0","0","0","0","0","0","62","59","95.2","17","3","0","3","0","0","0","0","3","0","1","0","0","0","0","1","0","4","2","1","1","0","0","0","0","0","8","0","0","0","0","0","0","0","0","9","9","1","1","0","0","2"
"29","D","Amavi, Jordan - AVL","WW","@EVE Sat 3:00PM","293.74","293.74","1","1","90","0","0","0","0","0","0","0","0","5","4","0","18","2","1","0","0","0","0","0","0","0","42","31","73.8","6","3","0","3","0","1","0","0","5","1","4","3","5","4","0","2","0","10","4","0","1","0","0","0","0","0","19","0","0","0","0","0","0","0","0","11","11","1","1","0","0","0"
"30","D","Shaw, Luke - MUN","FA","@WAT Sat 12:45PM","291.83","291.83","1","1","90","0","0","0","0","0","0","0","0","2","2","0","18","1","1","0","0","0","0","0","0","0","47","39","83.0","10","0","0","0","0","0","0","0","0","0","5","5","1","0","0","0","0","8","10","5","4","0","0","0","0","0","18","0","0","0","0","0","0","0","0","9","9","1","1","0","0","0"
"31","D","Tomkins, James - WHU","FA","@TOT Sun 4:00PM","290.71","290.71","1","1","90","0","0","1","0","0","0","0","0","1","1","0","15","2","1","1","0","0","0","0","0","0","41","29","70.7","6","0","0","0","0","0","0","0","1","0","5","4","1","1","0","1","1","8","6","5","2","0","0","0","0","0","16","0","0","0","0","0","0","0","0","22","22","1","1","0","0","0"
"32","D","Clyne, Nathaniel - LIV","FA","@MCI Sat 5:30PM","289.75","289.75","1","1","90","0","0","1","0","0","0","0","0","3","3","0","16","2","1","0","0","0","0","0","0","0","61","46","75.4","6","0","0","0","0","1","0","0","2","0","4","1","0","0","0","1","1","5","2","1","0","0","0","0","0","0","19","0","0","0","0","0","0","0","0","7","7","1","1","0","0","2"
"33","M","Johnson, Adam - SUN","FA","@CRY Mon 8:00PM","287.83","287.83","1","1","90","0","1","5","1","0","0.0","0","0","0","0","0","16","0","3","0","0","0","0","0","0","0","46","38","82.6","13","5","3","2","2","0","0","0","0","0","1","1","3","2","0","1","0","6","3","1","0","1","0","0","0","0","16","0","0","0","0","0","0","0","4","0","20","0","0","1","0","0"
"34","D","Daniels, Charlie - BOUR","FA","@SWA Sat 3:00PM","287.78","287.78","1","1","90","0","0","1","0","0","0","0","0","1","1","0","19","0","0","0","0","0","0","0","0","0","60","47","78.3","13","2","0","2","0","0","0","0","3","0","1","1","2","1","0","1","0","3","2","1","0","0","0","0","0","0","19","0","0","0","0","0","0","0","1","7","7","0","0","1","0","0"
"35","M","Navas, Jesús - MCI","FA","LIV Sat 5:30PM","286.93","286.93","1","1","90","0","0","2","2","0","0.0","0","2","1","1","0","9","0","1","0","0","0","0","0","0","0","56","52","92.9","28","4","1","3","2","0","0","0","1","0","0","0","1","1","0","0","0","3","3","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","9","1","1","0","0","0"
