"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CIB","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T"
"26","D","Cédric Soares - SOU","FA","WAT Wed 7:45PM","306.58","306.58","1","1","90","0","0","2","0","0","0","0","0","3","3","0","28","1","0","0","0","0","0","0","0","0","50","29","58.0","13","6","5","1","0","0","0","0","0","2","0","1","1","1","1","0","1","0","5","6","1","2","0","0","0","0","0","28","0","0","0","0","0","0","0","2","12","12","0","0","1","0"
"27","M","Henderson, Jordan - LIV","FA","ARS Wed 8:00PM","305.17","305.17","1","1","90","0","0","3","2","1","0.5","0","1","2","2","0","26","1","0","0","0","0","0","0","0","2","54","36","66.7","14","5","2","3","2","1","2","1","0","0","0","1","0","3","1","0","0","0","3","6","0","1","0","0","0","0","0","27","0","0","0","0","0","0","0","3","0","6","0","0","1","0"
"28","M","Eriksen, Christian - TOT","FA","LEIC Wed 8:00PM","304.1","304.1","1","1","86","0","0","3","3","1","0.3","0","1","2","2","0","25","0","1","0","0","0","0","0","0","0","42","32","76.2","15","8","0","8","4","0","4","0","1","1","0","0","0","7","3","0","1","0","6","7","0","2","0","0","0","0","0","25","0","1","0","0","0","0","0","0","0","8","1","1","0","0"
"29","M","Ki Sung-yueng - SWA","FA","SUN Wed 7:45PM","304.07","304.07","1","1","90","0","0","2","5","1","0.2","0","3","0","0","0","11","0","1","0","0","0","0","0","0","0","70","61","87.1","19","0","0","0","0","0","3","0","0","1","0","0","0","1","1","0","0","0","3","3","1","1","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","11","1","0","0","1"
"30","M","Gueye, Idrissa - AVL","FA","CRY Tue 7:45PM","301.73","301.73","1","1","90","0","0","1","1","0","0.0","0","0","4","3","0","24","1","1","0","0","0","0","0","0","0","59","43","72.9","11","1","0","1","0","0","0","0","0","6","0","0","0","3","3","0","0","0","9","3","1","0","0","0","0","0","0","24","0","0","0","0","0","0","0","1","0","8","0","0","0","1"
"31","D","Daniels, Charlie - BOUR","FA","WHU Tue 7:45PM","301.25","301.25","1","1","90","1","0","1","3","1","0.3","0","1","3","3","0","11","1","1","0","0","0","0","0","1","1","51","47","92.2","15","4","0","4","3","0","3","1","0","1","0","2","1","3","2","0","0","0","6","2","0","0","0","0","1","0","0","12","0","0","1","1","0","0","0","1","7","7","0","1","0","0"
"32","M","Arter, Harry - BOUR","FA","WHU Tue 7:45PM","300.95","300.95","1","1","82","0","0","0","3","0","0.0","0","2","1","1","0","6","1","0","0","0","0","0","0","0","0","75","71","94.7","30","1","0","1","0","0","1","0","0","0","0","0","0","2","2","0","0","0","3","2","0","0","0","0","0","0","0","6","0","1","0","0","0","0","0","1","0","5","0","1","0","0"
"33","D","Baines, Leighton - EVE","FA","@MCI Wed 7:45PM","298.74","298.74","1","1","90","0","0","2","0","0","0","0","0","3","1","0","20","0","0","0","0","0","0","0","0","1","46","34","73.9","9","11","5","6","8","2","1","0","0","1","0","2","1","0","0","0","0","0","5","3","2","2","0","0","0","0","0","21","0","0","0","0","0","0","0","3","10","10","0","0","1","0"
"34","D","Smith, Adam - BOUR","FA","WHU Tue 7:45PM","297.93","297.93","1","1","90","1","0","1","2","2","1.0","0","0","2","2","0","8","1","1","1","0","0","0","0","0","0","57","53","93.0","23","2","1","1","0","0","0","0","0","0","0","2","1","3","3","0","1","0","6","1","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","1","7","7","0","1","0","0"
"35","D","Stones, John - EVE","FA","@MCI Wed 7:45PM","297.88","297.88","1","1","90","0","0","0","0","0","0","0","0","0","0","0","11","0","1","0","0","0","0","0","0","0","74","65","87.8","7","0","0","0","0","0","1","0","0","1","1","4","4","0","0","0","0","0","3","0","2","0","0","0","0","0","0","11","0","0","0","0","0","0","0","3","10","10","0","0","1","0"
