"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G","GP","GS","Min","G","A","ASh","Sh","SOG","SA","SOP","SB","Tk","TkW","TLM","PLC","FC","FS","YC","SYC","RC","HB","Pen","DP","Off","Pa","APa","Pc%","SFTP","Cr","ACr","CF","CK","CF","CC","FKS","Int","IntB","ClA","ClS","CoA","CoS","CSLM","BCr","BS","DW","DL","AW","AL","BCC","BCM","BCS","FKG","FKM","PL","SubOn","SubOff","PKG","PKA","PKM","PKD","GON","GA","ShA","ShA","CS","W","L","T","CIB"
"26","M","Wanyama, Victor - SOU","FA","@MCI Sat 3:00PM","307.85","307.85","1","1","90","0","0","0","1","0","0.0","0","1","2","1","0","12","1","0","0","0","0","0","0","0","0","66","56","84.8","12","0","0","0","0","0","0","0","6","1","2","1","0","0","0","0","0","8","9","6","6","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","8","1","0","0","1","1"
"27","D","Kolarov, Aleksandar - MCI","FA","SOU Sat 3:00PM","307.78","307.78","1","1","90","0","0","0","2","0","0.0","0","1","3","3","0","23","0","1","0","0","0","0","0","0","0","51","40","78.4","9","5","0","5","0","0","0","0","5","0","2","1","1","1","0","0","0","5","6","0","2","0","0","0","0","0","24","0","0","0","0","0","0","0","0","10","10","1","1","0","0","0"
"28","M","Yaya Touré - MCI","FA","SOU Sat 3:00PM","306.15","306.15","1","1","90","0","0","3","4","1","0.3","0","1","2","2","0","11","3","3","1","0","0","0","0","0","0","59","53","89.8","23","1","0","1","0","1","0","0","1","0","1","1","0","0","0","0","1","5","8","0","2","1","1","0","0","0","11","0","0","0","0","0","0","0","0","0","10","1","1","0","0","0"
"29","D","Mbemba, Chancel - NEW","WW","@CRY Sat 3:00PM","305.9","305.9","1","1","90","0","0","0","1","0","0.0","0","1","2","1","0","9","1","0","0","0","0","0","0","0","0","59","53","89.8","8","0","0","0","0","0","0","0","3","0","9","5","0","0","0","1","2","2","4","0","1","0","0","0","0","0","13","0","0","0","0","0","0","0","2","17","17","0","0","1","0","4"
"30","M","Herrera, Ander - MUN","FA","@LEIC Sat 5:30PM","304.84","304.84","1","1","90","1","0","0","1","1","1.0","0","0","2","1","0","17","0","3","0","0","0","0","0","0","0","63","53","84.1","14","2","0","2","0","2","0","0","2","0","2","2","0","0","0","1","0","5","2","0","0","0","0","1","0","0","17","0","0","1","1","0","1","0","1","0","8","0","1","0","0","0"
"31","D","Janmaat, Daryl - NEW","FA","@CRY Sat 3:00PM","300.34","300.34","1","1","90","0","0","1","5","3","0.6","0","1","0","0","0","17","2","1","1","0","0","0","0","0","0","38","28","73.7","12","3","1","2","0","3","0","0","4","0","3","2","8","4","0","0","1","5","9","0","0","0","1","0","0","0","18","0","0","0","0","0","0","0","2","17","17","0","0","1","0","0"
"32","M","Barkley, Ross - EVE","FA","@BOUR Sat 3:00PM","296.31","296.31","1","1","90","0","2","4","2","1","0.5","0","0","0","0","0","19","0","4","0","0","0","0","0","0","0","43","35","81.4","17","6","1","5","7","0","0","1","0","0","0","0","4","1","0","1","0","6","6","1","0","0","0","0","0","0","19","0","0","0","0","0","0","0","1","0","15","0","1","0","0","1"
"33","M","Nasri, Samir - MCI","FA","SOU Sat 3:00PM","295.58","295.58","1","1","89","0","0","2","3","2","0.7","0","0","1","1","0","10","0","1","1","0","0","0","0","0","0","56","51","91.1","27","3","3","0","1","0","0","0","0","0","0","0","3","2","0","1","0","4","6","0","1","0","1","0","0","0","10","0","1","0","0","0","0","0","0","0","10","1","1","0","0","0"
"34","D","Lescott, Joleon - AVL","FA","WAT Sat 3:00PM","294.82","294.82","1","1","90","0","0","0","0","0","0","0","0","3","2","0","11","1","0","0","0","0","0","0","0","0","51","42","82.4","4","0","0","0","0","0","0","0","1","0","7","7","0","0","0","0","2","7","5","4","1","0","0","0","0","0","11","0","0","0","0","0","0","0","3","21","21","0","0","1","0","1"
"35","M","Ramsey, Aaron - ARS","FA","@NOR Sun 4:15PM","293.89","293.89","1","1","90","0","0","0","2","0","0.0","0","1","1","1","0","16","1","2","0","0","0","0","0","0","1","56","50","89.3","20","2","0","2","0","2","0","0","2","0","0","0","2","1","0","0","0","5","7","1","0","0","0","0","0","0","16","0","0","0","0","0","0","0","0","0","8","1","1","0","0","0"
