Team,Name,6S,A,A/90M,A/G,ABS,ACr,AFKG,AHW,AL,AOG,APKG,APL,APa,AR,ASOP,ASh,AW,BCC,BCM,BCS,BCr,BS,CC,CF,CF.1,CIB,CK,CS,CSD,CSF,CSLM,CSM,ClA,ClS,CoA,CoS,Cr,DL,DP,DPt,DW,FC,FC/G,FKG,FKM,FKS,FS,FS/G,G,G/90M,G/G,GA,GAD,GAF,GAIB,GAM,GAOB,GON,GP,GS,HB,HCA,HCS,HT,Int,IntB,L,Min,OO,Off,Off/90M,Off/G,PKA,PKD,PKF,PKG,PKGA,PKM,PKS,PL,PLC,Pa,Pc%,Pen,Player,Pos,Pt/90M,Pt/G,Pts,Pu,RC,RCR,SA,SB,SFTP,SOG,SOP,SYC,Sh,Sh/90M,Sh/G,ShA,ShA.1,ShG/90M,ShG/G,Sm,Sta,SubOff,SubOn,Sv,Sv%,SvIB,SvOB,T,TLM,Tk,TkW,W,YC
AVL,"Hutton, Alan",0.0,0,0.0,0.0,0,1.0,0,0,1,0,0,0,28,0.0,0,1,1,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3,2,2.0,1.0,7.0,4,0,4.0,7,1,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,3,3.0,0.0,,0.0,,0,1,1,0.0,,,0.0,1,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,25.0,24.0,40,70.0,0,"Hutton, Alan - AVL",D,0.0,0.0,0.0,,0,0,0.0,1.0,7,0.0,0.0,0,1.0,1.0,1.0,17,17,0.0,0.0,,FA,0,0,,,,,0,0.0,5.0,4.0,0,1
LEIC,"Mahrez, Riyad",0.0,0,0.0,0.0,0,3.0,0,0,6,0,0,0,26,0.0,0,1,1,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1,1,3.0,0.0,6.0,14,0,0.0,5,0,0.0,0.0,0.0,0.0,1,1.0,2,2.0,2.0,2,0.0,0.0,,2.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,20.0,20.0,37,70.3,0,"Mahrez, Riyad - LEIC",M,2.0,2.0,2.0,,0,0,0.5,2.0,15,2.0,0.0,0,4.0,4.0,4.0,0,14,2.0,2.0,,FA,0,0,,,,,0,0.0,3.0,3.0,1,0
EVE,"Lukaku, Romelu",0.0,2,2.3,2.0,0,1.0,0,0,4,0,0,0,53,0.0,0,4,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,2.0,1.0,7,0,2.0,2,2,2.0,0.0,0.0,0.0,0,0.0,1,1.2,1.0,2,0.0,2.0,,0.0,,0,1,1,0.0,,,0.0,0,0,0,78,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,13.0,13.0,63,84.1,0,"Lukaku, Romelu - EVE",F,3.5,3.0,3.0,,0,0,1.0,0.0,26,3.0,0.0,0,3.0,3.5,3.0,0,11,3.5,3.0,,FA,1,0,,,,,0,0.0,0.0,0.0,1,0
MCI,"Navas, Jesús",0.0,0,0.0,0.0,0,0.0,0,0,1,0,0,0,53,0.0,0,1,2,0.0,0.0,0.0,1.0,0.0,0.0,7.0,2.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0,1.0,1.0,7.0,3,0,1.0,4,1,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,1,0,0,90,,1.0,1.0,1.0,0.0,0,,0.0,,0.0,,16.0,16.0,60,88.3,0,"Navas, Jesús - MCI",M,0.0,0.0,0.0,,0,0,0.0,0.0,22,0.0,0.0,0,0.0,0.0,0.0,0,5,0.0,0.0,,FA,0,0,,,,,0,0.0,1.0,1.0,1,0
ARS,"Özil, Mesut",0.0,2,2.0,2.0,0,2.0,0,0,0,0,0,0,53,0.0,0,5,0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,1,0.0,0.0,0.0,1.0,0,0,1.0,1.0,5.0,3,0,0.0,2,0,0.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,1,0,0,89,,1.0,1.0,1.0,0.0,0,,0.0,,0.0,,14.0,14.0,59,89.8,0,"Özil, Mesut - ARS",M,2.0,2.0,2.0,,0,0,1.0,0.0,24,1.0,0.0,0,1.0,1.0,1.0,0,7,1.0,1.0,,FA,1,0,,,,,0,0.0,0.0,0.0,1,0
TOT,"Alderweireld, Toby",0.0,0,0.0,0.0,0,0.0,0,0,2,0,0,0,62,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7,5,1.0,0.0,0.0,3,0,0.0,1,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,1,1.0,0.0,,0.0,,0,1,1,0.0,,,0.0,3,1,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,12.0,10.0,71,87.3,0,"Alderweireld, Toby - TOT",D,0.0,0.0,0.0,,0,0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,13,13,0.0,0.0,,FA,0,0,,,,,0,0.0,0.0,0.0,1,0
WHU,"Tomkins, James",0.0,0,0.0,0.0,0,0.0,0,0,2,0,0,0,51,0.0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,10,9,0.0,0.0,0.0,5,0,5.0,9,2,2.0,0.0,0.0,0.0,3,3.0,0,0.0,0.0,2,2.0,0.0,,0.0,,0,1,1,0.0,,,0.0,2,0,1,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,3.0,2.0,53,96.2,0,"Tomkins, James - WHU",D,0.0,0.0,0.0,,0,0,0.0,0.0,6,0.0,0.0,0,0.0,0.0,0.0,20,20,0.0,0.0,,FA,0,0,,,,,0,0.0,4.0,2.0,0,1
LIV,"Coutinho, Philippe",0.0,0,0.0,0.0,0,0.0,0,0,2,0,0,0,35,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0,0,3.0,2.0,2.0,9,0,4.0,4,1,1.0,0.0,0.0,0.0,1,1.0,2,2.0,2.0,1,0.0,0.0,,1.0,,0,1,1,0.0,,,0.0,1,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,19.0,19.0,47,74.5,0,"Coutinho, Philippe - LIV",M,2.0,2.0,2.0,,0,0,0.5,2.0,20,2.0,0.0,0,4.0,4.0,4.0,0,8,2.0,2.0,,FA,0,0,,,,,0,0.0,1.0,1.0,1,1
SOU,"van Dijk, Virgil",0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,57,0.0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,1,0,1.0,3,1,1.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,5,1,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,9.0,6.0,63,90.5,0,"van Dijk, Virgil - SOU",D,0.0,0.0,0.0,,0,0,0.0,0.0,4,0.0,0.0,0,0.0,0.0,0.0,16,16,0.0,0.0,,WW,0,0,,,,,0,0.0,3.0,2.0,1,0
SOU,Cédric Soares,0.0,0,0.0,0.0,0,1.0,0,0,0,0,0,0,29,0.0,0,0,1,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,6,3,2.0,0.0,4.0,2,0,0.0,6,0,0.0,0.0,0.0,0.0,1,1.0,0,0.0,0.0,0,0.0,0.0,,0.0,,0,1,1,0.0,,,0.0,4,0,0,90,,0.0,0.0,0.0,0.0,0,,0.0,,0.0,,22.0,19.0,39,74.4,0,Cédric Soares - SOU,D,0.0,0.0,0.0,,0,0,0.0,0.0,9,0.0,0.0,0,0.0,0.0,0.0,16,16,0.0,0.0,,FA,0,0,,,,,0,0.0,4.0,4.0,1,0
