"Rk","Pos","Player","Sta","Opp (GMT)","FPts","FP/G"
"237","F","Chamakh, Marouane - CRY","FA","SUN Mon 8:00PM","0","0"
"238","D","Chambers, Calum - ARS","FA","@WBA Sat 3:00PM","0","0"
"239","D","Chester, James - WBA","WW","ARS Sat 3:00PM","0","0"
"240","D","Ben Chilwell - LEIC","WW","@NEW Sat 3:00PM","0","0"
"241","M","Chirivella, Pedro - LIV","WW","@MCI Sat 5:30PM","0","0"
"242","D","Clark, Ciaran - AVL","FA","@EVE Sat 3:00PM","0","0"
"243","M","Clasie, Jordy - SOU","WW","STK Sat 3:00PM","0","0"
"244","D","Cleary, Daniel - LIV","WW","@MCI Sat 5:30PM","0","0"
"245","M","Cleverley, Tom - EVE","FA","AVL Sat 3:00PM","0","0"
"246","D","Clichy, Gaël - MCI","FA","LIV Sat 5:30PM","0","0"
"247","D","Clyne, Nathaniel - LIV","FA","@MCI Sat 5:30PM","0","0"
"248","D","Coates, Sebastián - SUN","FA","@CRY Mon 8:00PM","0","0"
"249","M","Colback, Jack - NEW","FA","LEIC Sat 3:00PM","0","0"
"250","D","Coleman, Seamus - EVE","FA","AVL Sat 3:00PM","0","0"
"251","D","Collins, James - WHU","FA","@TOT Sun 4:00PM","0","0"
"252","D","Coloccini, Fabricio - NEW","FA","LEIC Sat 3:00PM","0","0"
"253","M","Coquelin, Francis - ARS","FA","@WBA Sat 3:00PM","0","0"
"254","M","Cork, Jack - SWA","FA","BOUR Sat 3:00PM","0","0"
"255","D","Costa, Filippo - BOUR","WW","@SWA Sat 3:00PM","0","0"
"256","D","Crespo, José Ángel - AVL","WW","@EVE Sat 3:00PM","0","0"
"257","D","Cresswell, Aaron - WHU","FA","@TOT Sun 4:00PM","0","0"
"258","D","Croll, Luke - CRY","WW","SUN Mon 8:00PM","0","0"
"259","F","Crouch, Peter - STK","FA","@SOU Sat 3:00PM","0","0"
"260","M","Cullen, Josh - WHU","WW","@TOT Sun 4:00PM","0","0"
"261","D","Daniels, Charlie - BOUR","FA","@SWA Sat 3:00PM","0","0"
"262","G","Darlow, Karl - NEW","FA","LEIC Sat 3:00PM","0","0"
"263","D","Darmian, Matteo - MUN","WW","@WAT Sat 12:45PM","0","0"
"264","D","Davies, Ben - TOT","FA","WHU Sun 4:00PM","0","0"
"265","D","Debuchy, Mathieu - ARS","FA","@WBA Sat 3:00PM","0","0"
"266","M","Delph, Fabian - MCI","FA","LIV Sat 5:30PM","0","0"
"267","D","Demichelis, Martín - MCI","FA","LIV Sat 5:30PM","0","0"
"268","F","Diamanti, Alessandro - WAT","WW","MUN Sat 12:45PM","0","0"
"269","D","Distin, Sylvain - BOUR","FA","@SWA Sat 3:00PM","0","0"
"270","D","Djilobodji, Papy - CHE","WW","NOR Sat 3:00PM","0","0"
"271","F","Joe Dodoo - LEIC","WW","@NEW Sat 3:00PM","0","0"
"272","D","Donnellan, Shaun - WBA","WW","ARS Sat 3:00PM","0","0"
"273","M","Dorrans, Graham - NOR","FA","@CHE Sat 3:00PM","0","0"
"274","M","Drinkwater, Daniel - LEIC","FA","@NEW Sat 3:00PM","0","0"
"275","D","Dummett, Paul - NEW","FA","LEIC Sat 3:00PM","0","0"
"276","M","Dyer, Lloyd - WAT","FA","MUN Sat 12:45PM","0","0"
"277","F","Edwards, Kyle - WBA","WW","ARS Sat 3:00PM","0","0"
"278","D","Ekstrand, Joel - WAT","FA","MUN Sat 12:45PM","0","0"
"279","M","Moha - STK","WW","@SOU Sat 3:00PM","0","0"
"280","D","Elphick, Tommy - BOUR","FA","@SWA Sat 3:00PM","0","0"
"281","F","Emnes, Marvin - SWA","FA","BOUR Sat 3:00PM","0","0"
"282","D","José Enrique - LIV","FA","@MCI Sat 5:30PM","0","0"
"283","D","Evans, Jonny - WBA","FA","ARS Sat 3:00PM","0","0"
"284","D","Fazio, Federico - TOT","FA","WHU Sun 4:00PM","0","0"
"285","M","Fellaini, Marouane - MUN","FA","@WAT Sat 12:45PM","0","0"
"286","D","Federico Fernández - SWA","FA","BOUR Sat 3:00PM","0","0"
"287","M","Flamini, Mathieu - ARS","FA","@WBA Sat 3:00PM","0","0"
"288","D","Flanagan, Jon - LIV","FA","@MCI Sat 5:30PM","0","0"
"289","M","Fletcher, Darren - WBA","FA","ARS Sat 3:00PM","0","0"
"290","G","Forster, Fraser - SOU","FA","STK Sat 3:00PM","0","0"
"291","G","Foster, Ben - WBA","FA","ARS Sat 3:00PM","0","0"
"292","D","Francis, Simon - BOUR","FA","@SWA Sat 3:00PM","0","0"
"293","D","Fryers, Ezekiel - CRY","WW","SUN Mon 8:00PM","0","0"
"294","D","Fuchs, Christian - LEIC","FA","@NEW Sat 3:00PM","0","0"
"295","G","Fulton, Ryan - LIV","WW","@MCI Sat 5:30PM","0","0"
"296","D","Funes Mori, Ramiro - EVE","WW","AVL Sat 3:00PM","0","0"
"297","M","Fàbregas, Cesc - CHE","FA","NOR Sat 3:00PM","0","0"
"298","D","Galloway, Brendan - EVE","FA","AVL Sat 3:00PM","0","0"
"299","D","Gamboa, Cristian - WBA","FA","ARS Sat 3:00PM","0","0"
"300","M","Manu García - MCI","WW","LIV Sat 5:30PM","0","0"
"301","M","Gardner, Craig - WBA","FA","ARS Sat 3:00PM","0","0"
"302","M","Gardner, Gary - AVL","FA","@EVE Sat 3:00PM","0","0"
"303","D","Gardos, Florin - SOU","FA","STK Sat 3:00PM","0","0"
"304","F","Gayle, Dwight - CRY","FA","SUN Mon 8:00PM","0","0"
"305","G","Gazzaniga, Paulo - SOU","FA","STK Sat 3:00PM","0","0"
"306","M","Gibson, Darron - EVE","FA","AVL Sat 3:00PM","0","0"
"307","G","Gilmartin, Rene - WAT","FA","MUN Sat 12:45PM","0","0"
"308","G","Given, Shay - STK","FA","@SOU Sat 3:00PM","0","0"
"309","M","Glendon, George - MCI","WW","LIV Sat 5:30PM","0","0"
"310","M","Gnabry, Serge - WBA","FA","ARS Sat 3:00PM","0","0"
"311","M","Jordi Gómez - SUN","FA","@CRY Mon 8:00PM","0","0"
"312","D","Gomez, Joseph - LIV","FA","@MCI Sat 5:30PM","0","0"
"313","F","Gooch, Lynden - SUN","WW","@CRY Mon 8:00PM","0","0"
"314","M","Gouffran, Yoan - NEW","FA","LEIC Sat 3:00PM","0","0"
"315","F","Grabban, Lewis - NOR","FA","@CHE Sat 3:00PM","0","0"
"316","F","Gradel, Max - BOUR","WW","@SWA Sat 3:00PM","0","0"
"317","F","Danny Graham - SUN","FA","@CRY Mon 8:00PM","0","0"
"318","M","Grimes, Matt - SWA","FA","BOUR Sat 3:00PM","0","0"
"319","M","Gueye, Idrissa - AVL","FA","@EVE Sat 3:00PM","0","0"
"320","M","Guédioura, Adlène - WAT","WW","MUN Sat 12:45PM","0","0"
"321","D","Haidara, Massadio - NEW","FA","LEIC Sat 3:00PM","0","0"
"322","D","Hangeland, Brede - CRY","FA","SUN Mon 8:00PM","0","0"
"323","G","Haugaard, Jakob - STK","FA","@SOU Sat 3:00PM","0","0"
"324","M","Hazard, Eden - CHE","FA","NOR Sat 3:00PM","0","0"
"325","M","Henderson, Jordan - LIV","FA","@MCI Sat 5:30PM","0","0"
"326","D","Hibbert, Tony - EVE","FA","AVL Sat 3:00PM","0","0"
"327","D","Hoban, Tommy - WAT","FA","MUN Sat 12:45PM","0","0"
"328","D","Holebas, José - WAT","WW","MUN Sat 12:45PM","0","0"
"329","D","Holgate, Mason - EVE","WW","AVL Sat 3:00PM","0","0"
"330","D","Huth, Robert - LEIC","FA","@NEW Sat 3:00PM","0","0"
"331","D","Hutton, Alan - AVL","FA","@EVE Sat 3:00PM","0","0"
"332","F","Ibarbo, Víctor - WAT","WW","MUN Sat 12:45PM","0","0"
"333","M","Ibe, Jordon - LIV","FA","@MCI Sat 5:30PM","0","0"
"334","D","Ilori, Tiago - AVL","WW","@EVE Sat 3:00PM","0","0"
